Index_code,Date,Open,Close,Low,High,Volume,Money,Change,Label
sh000001,33227,104.3,104.39,99.98,104.39,197000,85000,0.0441,109.13
sh000001,33228,109.07,109.13,103.73,109.13,28000,16100,0.0454,114.55
sh000001,33231,113.57,114.55,109.13,114.55,32000,31100,0.0497,120.25
sh000001,33232,120.09,120.25,114.55,120.25,15000,6500,0.0498,125.27
sh000001,33233,125.27,125.27,120.25,125.27,100000,53700,0.0417,125.28
sh000001,33234,125.27,125.28,125.27,125.28,66000,104600,0.0001,126.45
sh000001,33235,126.39,126.45,125.28,126.45,108000,88000,0.0093,127.61
sh000001,33238,126.56,127.61,126.48,127.61,78000,60000,0.0092,128.84
sh000001,33240,127.61,128.84,127.61,128.84,91000,59100,0.0096,130.14
sh000001,33241,128.84,130.14,128.84,130.14,141000,93900,0.0101,131.44
sh000001,33242,131.27,131.44,130.14,131.44,420000,261900,0.01,132.06
sh000001,33245,131.99,132.06,131.45,132.06,217000,141700,0.0047,132.68
sh000001,33246,132.62,132.68,132.06,132.68,2926000,1806900,0.0047,133.34
sh000001,33247,133.3,133.34,132.68,133.34,5603000,3228700,0.005,133.97
sh000001,33248,133.93,133.97,133.34,133.97,9990000,5399500,0.0047,134.61
sh000001,33249,134.61,134.6,134.51,134.61,13327000,7115700,0.0047,135.19
sh000001,33252,134.11,134.67,134.11,135.19,12530000,6883600,0.0005,134.74
sh000001,33253,134.21,134.74,134.19,134.74,1446000,1010400,0.0005,134.74
sh000001,33254,134.19,134.24,134.14,134.74,509000,270100,-0.0037,134.25
sh000001,33255,133.67,134.25,133.65,134.25,658000,334200,0.0001,134.25
sh000001,33256,133.7,134.24,133.67,134.25,3004000,1570800,-0.0001,134.24
sh000001,33259,133.7,134.24,133.66,134.24,2051000,1029300,0,134.24
sh000001,33260,133.72,133.72,133.66,134.24,354000,180800,-0.0039,133.72
sh000001,33261,133.17,133.17,133.14,133.72,1095000,575900,-0.0041,133.17
sh000001,33262,132.61,132.61,132.57,133.17,1857000,917400,-0.0042,132.07
sh000001,33263,132.05,132.05,132.03,132.07,3447000,1722200,-0.0042,131.55
sh000001,33266,131.46,131.46,131.46,131.55,5107000,2565600,-0.0045,130.97
sh000001,33267,130.95,130.95,130.95,130.97,1387000,710700,-0.0039,130.95
sh000001,33268,130.44,130.44,130.41,130.95,527000,260700,-0.0039,130.46
sh000001,33269,129.93,129.97,129.93,130.46,510000,244700,-0.0036,129.97
sh000001,33270,129.5,129.51,129.45,129.97,345000,140900,-0.0035,129.58
sh000001,33273,129.05,129.05,129.05,129.58,553000,273700,-0.0036,128.58
sh000001,33274,128.56,128.58,128.53,128.58,8562000,4250100,-0.0036,129.15
sh000001,33275,129.13,129.14,128.06,129.15,6641000,3847300,0.0044,129.79
sh000001,33276,129.74,129.79,129.14,129.79,2133000,1504800,0.005,130.39
sh000001,33277,130.36,130.38,129.79,130.39,1234000,879900,0.0045,130.97
sh000001,33280,130.92,130.97,130.39,130.97,9317000,4834900,0.0045,131.56
sh000001,33281,131.54,131.35,130.97,131.56,3774000,1987000,0.0029,131.93
sh000001,33282,131.93,131.92,131.35,131.93,1152000,673700,0.0043,132.53
sh000001,33283,132.53,132.53,132.3,132.53,3624000,1883100,0.0046,133.14
sh000001,33288,133.12,133.13,133.08,133.14,1748000,1216200,0.0045,133.67
sh000001,33289,133.63,133.67,133.13,133.67,876000,520700,0.0041,134.28
sh000001,33290,134.24,134.28,133.67,134.28,3220000,1771700,0.0046,134.87
sh000001,33291,134.85,134.87,134.28,134.87,3427000,2003800,0.0044,134.87
sh000001,33294,134.37,134.4,134.33,134.87,810000,621000,-0.0035,134.44
sh000001,33295,133.9,133.93,133.9,134.44,1094000,2545700,-0.0035,133.98
sh000001,33296,133.44,133.47,133.44,133.98,214000,142000,-0.0034,133.52
sh000001,33297,132.99,133.01,132.98,133.52,2258000,1188000,-0.0034,132.53
sh000001,33298,132.53,132.53,132.47,132.53,7124000,3777300,-0.0036,132.09
sh000001,33301,132.09,131.99,131.98,132.09,2518000,1418000,-0.0041,131.99
sh000001,33302,131.42,131.46,131.41,131.99,982000,934700,-0.004,130.95
sh000001,33303,130.89,130.94,130.89,130.95,719000,1345400,-0.004,130.94
sh000001,33304,130.41,130.41,130.41,130.94,568000,427500,-0.004,130.41
sh000001,33305,129.84,129.89,129.84,130.41,933000,541800,-0.004,129.89
sh000001,33308,129.3,129.31,129.3,129.89,514000,299500,-0.0045,129.31
sh000001,33309,128.73,128.77,128.73,129.31,957000,783100,-0.0042,128.77
sh000001,33310,126.13,126.15,126.13,128.77,498000,418300,-0.0203,126.15
sh000001,33311,125.61,125.63,125.61,126.15,326000,242600,-0.0041,125.62
sh000001,33312,125.08,125.17,125.08,125.62,790000,403500,-0.0037,125.17
sh000001,33315,124.7,124.71,124.69,125.17,1250000,1210400,-0.0037,124.71
sh000001,33316,124.23,124.22,124.22,124.71,892000,682900,-0.0039,124.21
sh000001,33317,123.66,123.66,123.63,124.21,678000,433100,-0.0045,123.66
sh000001,33318,123.14,123.12,123.12,123.66,151000,131100,-0.0044,123.12
sh000001,33319,122.62,122.62,122.62,123.12,207000,120100,-0.0041,122.62
sh000001,33322,122.12,122.12,122.1,122.62,443000,324200,-0.0041,122.14
sh000001,33323,121.62,121.62,121.62,122.14,1164000,709000,-0.0041,121.64
sh000001,33324,121.12,121.12,121.12,121.64,668000,366000,-0.0041,121.15
sh000001,33325,120.65,120.61,120.61,121.15,961000,505700,-0.0042,120.61
sh000001,33326,120.16,120.19,120.11,120.61,2185000,2186200,-0.0035,120.73
sh000001,33329,120.69,120.73,119.68,120.73,11999000,5666700,0.0045,121.29
sh000001,33330,121.21,121.21,120.73,121.29,816000,387600,0.004,121.71
sh000001,33331,121.71,121.71,121.21,121.71,2063000,977200,0.0041,122.2
sh000001,33332,122.2,121.72,121.24,122.2,10517000,5045900,0.0001,121.73
sh000001,33333,121.07,121.54,121.03,121.73,11589000,6035600,-0.0015,121.11
sh000001,33336,121.11,121.09,121.05,121.11,1862000,1675800,-0.0037,121.1
sh000001,33337,120.6,120.62,120.6,121.1,320000,297100,-0.0039,120.62
